kanji,yomikata
親切,しんせつ
必要,ひつよう
大分,だいぶ
夕方,ゆうがた
お菓子,おかし
お手洗い,おてあらい
祖母さん,おばあさん
意味,いみ
椅子,いす
映画館,えいがかん
英語,えいご
黄色い,きいろい
音楽,おんがく
下手,へた
上手,じょうず
何時,なんじ
夏休み,なつやすみ
家庭教師,かていきょうし
果物,くだもの
荷物,にもの
会社,かいしゃ
灰皿,はいざら
階段,かいだん
外国人,がいこくじん
学校,がっこう
学生,がくせい
練習,れんしゅう
漢字,かんじ
牛乳,ぎゅうにゅう
牛肉,ぎゅうにく
去年,きょねん
教室,きょうしつ
金曜日,きんようび
銀行,ぎんこう
靴下,くつした
兄弟,きょうだい
姉妹,しまい
警官,けいかん
警察,けいさつ
図書館,としょかん
結婚,けっこん
元気,げんき
玄関,げんかん
言葉,ことば
午後,ごご
午前,ごぜん
晩ご飯,ばんごはん
公園,こうえん
紅茶,こうちゃ
今月,こんげつ
再来週,さらいしゅう
病院,びょういん
砂糖,さとう
財布,さいふ
作文,さくぶん
雑誌,ざっし
子供,こども
字引,じびき
地震,じしん
時間,じかん
時計,とけい
自転車,じてんしゃ
自動車,じどうしゃ
自分,じぶん
辞書,じしょ
質問,しつもん
手紙,てがみ
掃除,そうじ
洗濯,せんたく
授業料,じゅぎょうりょう
宿題,しゅくだい
出張,しゅっちょう
大学生,だいがくせい
生活,せいかつ
食べ物,たべもの
食堂,しょくどう
新聞,しんぶん
切手,きって
先生,せんせい
全部,ぜんぶ
多分,たぶん
大好き,だいすき
大使館,たいしかん
試験,しけん
試合,しあい
大勢,おおぜい
大切,たいせつ
大変,たいへん
誕生日,たんじょうび
男の子,おとこのこ
地下鉄,ちかてつ
地図,ちず
茶色,ちゃいろ
天気,てんき
電気,でんき
電車,でんしゃ
電話,でんわ
動物園,どうぶつえん
豚肉,ぶたにく
飛行機,ひこうき
病気,びょうき
封筒,ふうとう
風呂,ふろ
文章,ぶんしょ
便利,べんり
勉強,べんきょう
お弁当,おべんとう
帽子,ぼうし
本棚,ほんだな
本当,ほんとう
日本語,にほんご
毎朝,まいあさ
毎晩,まいばん
名前,なまえ
友達,ともだち
問題,もんだい
野菜,やさい
有名,ゆうめい
洋服,ようふく
葉書,はがき
留学生,りゅうがくせい
料理,りょうり
廊下,ろうか
一昨年,おととし
眼鏡,めがね
今日,きょう
上着,うわぎ
大丈夫,だいじょうぶ
入口,いりぐち
出口,でぐち
明日,あした
買い物,かいもの
交差点,こうさてん
茶碗,ちゃわん
飲み物,のみもの
二十歳,はたち
昼休み,ひるやすみ
